id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,request_type,request_time,mobility_type,call_time
1,59.635075,10.672229,59.672538,10.65247,0,495,Walking,369.24724355033453
2,59.672538,10.65247,59.635075,10.672229,1,870,Walking,708.6973543387512
3,59.632427,10.69418,59.604056,10.749636,0,530,Walking,369.0238580919915
4,59.569626,10.840697,59.604056,10.749636,0,425,Walking,0.0
5,59.604056,10.749636,59.569626,10.840697,1,990,Walking,368.0889920080172
6,59.501431,10.686709,59.673779,10.655563,0,435,Walking,0.0
7,59.673779,10.655563,59.501431,10.686709,1,945,Walking,459.5793557321806
8,59.965418,11.040337,59.922336,10.959432,1,520,Walking,394.6432199926793
9,59.922336,10.959432,59.965418,11.040337,1,875,Walking,506.57593429445234
10,59.961768,11.206782,59.928919,11.177064,0,450,Walking,0.0
11,59.946029,11.210642,59.985346,11.240226,0,440,Walking,0.0
12,59.952426,11.044606,59.976774,10.938867,1,1010,Walking,673.1378827044175
13,60.336643,11.262108,60.29276,11.156628,1,925,Walking,600.9225004898461
14,60.336643,11.262108,60.082467,11.271548,1,925,Walking,576.1335402250131
15,60.336643,11.262108,60.120493,11.472859,1,925,Walking,539.3003974393798
16,59.985346,11.240226,59.891609,11.816682,1,937,Walking,487.8610865027588
17,59.985346,11.240226,59.946029,11.210642,1,965,Walking,639.8983430029509
18,59.976945,12.060445,59.985346,11.240226,1,375,Walking,0.0
19,59.985346,11.240226,59.976945,12.060445,1,937,Walking,553.0254693897978
20,60.425548,10.988553,60.4107,11.0593,0,450,Walking,0.0
21,60.4107,11.0593,60.425548,10.988553,1,995,Walking,455.5114153206967
22,60.068261,11.214483,60.07601,11.138006,0,435,Walking,0.0
23,60.157929,11.537761,60.123722,11.465924,0,425,Walking,0.0
24,60.123722,11.465924,60.157929,11.537761,1,1020,Walking,830.9423311932953
25,60.394568,11.218985,60.328985,11.248871,0,460,Walking,0.0
26,60.334828,11.294225,60.328985,11.248871,0,410,Walking,0.0
27,59.879305,11.588946,59.971423,12.138335,1,966,Walking,548.5362139995132
28,59.971423,12.138335,59.879305,11.588946,1,367,Walking,0.0
