Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,19.21,23.33,4.12,21.45,15.39,-3.82,-19.89
Inst. 2,18.51,25.45,6.94,37.49,16.22,-2.29,-12.37
Inst. 3,19.37,23.95,4.58,23.64,16.1,-3.27,-16.88
Inst. 4,18.22,24.26,6.04,33.15,15.0,-3.22,-17.67
Inst. 5,17.5,25.08,7.58,43.31,14.9,-2.6,-14.86
Inst. 6,19.24,26.09,6.85,35.6,15.86,-3.38,-17.57
Inst. 7,19.12,28.83,9.71,50.78,15.18,-3.94,-20.61
Inst. 8,18.68,26.13,7.45,39.88,15.7,-2.98,-15.95
Inst. 9,18.93,23.66,4.73,24.99,15.19,-3.74,-19.76
Inst. 10,19.06,26.73,7.67,40.24,16.51,-2.55,-13.38
Average,18.78,25.35,6.57,35.05,15.6,-3.18,-16.89
